Column Name	type	Description
t15_clumps_arrangement_a04_spiral_fraction	Float	
t15_clumps_arrangement_a04_spiral_weighted_fraction	Float	
t15_clumps_arrangement_total_count	Short	
t15_clumps_arrangement_total_weight	Float	
t16_clumps_count_a02_2_fraction	Float	
t16_clumps_count_a02_2_weighted_fraction	Float	
t16_clumps_count_a03_3_fraction	Float	
t16_clumps_count_a03_3_weighted_fraction	Float	
t16_clumps_count_a04_4_fraction	Float	
t16_clumps_count_a04_4_weighted_fraction	Float	
t16_clumps_count_a05_more_than_4_fraction	Float	
t16_clumps_count_a05_more_than_4_weighted_fraction	Float	
t16_clumps_count_a06_cant_tell_fraction	Float	
t16_clumps_count_a06_cant_tell_weighted_fraction	Float	
t16_clumps_count_a01_1_fraction	Float	
t16_clumps_count_a01_1_weighted_fraction	Float	
t16_clumps_count_total_count	Short	
t16_clumps_count_total_weight	Float	
t17_clumps_symmetrical_a01_yes_fraction	Float	
t17_clumps_symmetrical_a01_yes_weighted_fraction	Float	
t17_clumps_symmetrical_a02_no_fraction	Float	
t17_clumps_symmetrical_a02_no_weighted_fraction	Float	
t17_clumps_symmetrical_total_count	Short	
t17_clumps_symmetrical_total_weight	Float	
t18_clumps_embedded_a01_yes_fraction	Float	
t18_clumps_embedded_a01_yes_weighted_fraction	Float	
t18_clumps_embedded_a02_no_fraction	Float	
t18_clumps_embedded_a02_no_weighted_fraction	Float	
t18_clumps_embedded_total_count	Short	
t18_clumps_embedded_total_weight	Float	
